id,screen_name,democrat,republican
19926675,RepKevinBrady,2,109
2976606250,RepGrothman,1,110
970207298,SenWarren,115,9
515822213,SenatorTester,120,8
1083448909,RepFilemonVela,102,2
1135486501,RepScottPeters,108,5
3023272478,OregonGovBrown,107,3
153944899,RepLloydDoggett,122,25
244268646,RepMikePompeo,4,103
236479311,RepRichNugent,3,104
789244177,RepDannyDavis,113,1
377534571,MacTXPress,-1,-1
435500714,SenCoonsOffice,112,13
126171100,RepSheaPorter,110,4
234406945,SDGovDaugaard,1,102
171968009,SenFranken,108,12
344972339,Rep_DevinNunes,11,118
18805303,JeffFortenberry,2,108
237312687,RepBillFlores,3,109
39249305,USRepMikeDoyle,108,8
111635980,repjoecrowley,9,100
193732179,RepJudyChu,106,5
1060370282,RepMullin,4,106
1092757885,RepJBridenstine,3,110
20053279,RepPeteOlson,8,119
249288197,SamsPressShop,-1,-1
48724141,GovernorMarkell,109,4
221969181,FailGOP,0,0
245408102,RepDold,4,111
803694179079458816,SenKamalaHarris,113,3
1068481578,SenAngusKing,18,116
963480595,RepMarkMeadows,6,120
217416964,GovernorDeal,110,14
968650362,SenTomCotton,4,116
278124059,SenBlumenthal,105,5
2964351843,RepBradAshford,104,5
162069635,RepCohen,128,12
382791093,SenJohnHoeven,6,104
57963724,Gov_Martinez,5,114
20508720,ThePlumLineGS,-1,-1
587100576,garretgraves,4,104
2382685057,RepRobWoodall,1,106
935033864,RepRichHudson,-1,-1
236960387,RepFrankGuinta,9,111
57065141,McCaskillOffice,113,12
815241612154417152,RepJackBergman,2,108
84119348,RepPaulTonko,107,8
1908143071,RepGuthrie,4,106
510516465,daveloebsack,117,5
188019606,Clyburn,119,9
5558312,JohnBoozman,7,114
1037321378,RepMarkTakano,104,4
22812754,GregoryMeeks,105,2
816303263586914304,RepBrianFitz,1,102
52503751,DrPhilRoe,3,104
19394188,SenJohnMcCain,27,166
250188760,RonWyden,110,9
22527499,RepBillShuster,7,106
818554054309715969,RepJackyRosen,102,2
22055226,replouiegohmert,6,109
240393970,RepJeffDuncan,4,107
133832049,AGBecerra,108,3
2340948996,DonNorcross4NJ,10,107
816131319033950208,RepJimBanks,100,6
110545675,RepDianeBlack,3,111
2953494478,RepRyanZinke,8,112
1058345042,RepTomRice,2,104
558769636,RepBonamici,103,2
17078632,BobbyJindal,17,133
815952318487298048,DrNealDunnFL2,-1,-1
18277655,RepPeteKing,4,122
1077121945,RepLoisFrankel,108,3
1071900114,RepTedYoho,3,109
75364211,SenPatRoberts,6,116
808416682972770304,RepOHalleran,1,106
2862577383,RepKenBuck,3,112
237750442,RepSteveChabot,6,106
252249233,RepPeterDeFazio,112,7
47975734,SenatorSessions,13,120
224294785,RepMarthaRoby,4,103
76350004,repjohnkline,4,106
1061029050,SenatorHeitkamp,116,13
236511574,SenGaryPeters,123,10
76649729,SenAlexander,9,123
3145255727,tiberipress,-1,-1
37094727,MarioDB,0,0
109071031,SenatorCardin,108,4
2862555526,GovRauner,7,109
50152441,RepMcClintock,12,117
156333623,RepAlGreen,107,1
3686482216,RepLaHood,2,106
816157667882373120,RepCarbajal,105,2
216503958,SenDonnelly,123,12
26637348,TulsiGabbard,123,3
264219447,SenatorWicker,13,114
168673083,repdavidscott,3,100
15160884,Randy_Forbes,3,104
224285242,SenBennetCO,113,5
816298918468259841,RepRoKhanna,144,37
2975091705,CongressmanHice,101,1
851621377,JimPressOffice,-1,-1
18061669,lisamurkowski,8,118
1321432124,WolfForPA,103,4
80612021,JacksonLeeTX18,107,3
15356407,RobWittman,6,105
15751083,michaelcburgess,3,104
1080509366,RepBillFoster,103,5
2730150631,RepCurtClawson,100,3
242892689,nikiinthehouse,-1,-1
817050219007328258,RepBRochester,3,100
816719802328715264,RepLizCheney,100,9
1068499286,RepDennyHeck,104,5
3353670647,RepDanDonovan,-1,-1
18030431,JudgeCarter,100,4
15442036,SenatorBoxer,112,2
584912320,LacyClayMO1,105,2
2482022082,USRepDavidJolly,7,108
237944147,RepFitzpatrick,1,102
23951197,aaronschock,13,126
60688326,GovHerbert,6,107
818713465653051392,RepDarrenSoto,11,104
2962891515,RepAbraham,1,102
7429102,MarkWarner,127,15
267854863,RepRichmond,112,6
239905257,USRepRHinojosa,-1,-1
138770045,RepJohnConyers,109,7
1140648348,RepDWStweets,-1,-1
2968007206,RepDeSaulnier,104,7
2891210047,SenDanSullivan,1,130
237763317,RepHartzler,2,110
2976598347,RepMiaLove,7,117
148006729,RepRobBishop,100,6
2932617195,RepPoliquin,10,118
1267940407,SenKaineOffice,101,1
3058189305,repjustinamash,5,116
2965083477,RepRodBlum,101,1
43910797,SenSherrodBrown,120,11
1134292500,RepBetoORourke,-1,-1
76132891,CongMikeSimpson,7,116
2869746172,repdavetrott,2,105
82649553,repdonnaedwards,115,6
2293131060,RepKClark,109,3
1262814457,RepTimWalz,105,5
235251868,RepKristiNoem,-1,-1
1092979962,RepCheri,109,5
254082173,RepJoeWilson,8,118
137407124,Westmoreland_GA,4,111
816282029276938240,RepKihuen,111,1
229592356,KellyAyotte,10,126
73303753,SenBobCorker,10,115
23970171,TomRooney,11,121
60828944,SenatorTomUdall,105,4
1089334250,RepAndyBarr,8,124
246341769,Raul_Labrador,-1,-1
234837632,RepRobertHurt,6,106
16160352,clairecmc,2,109
798973032362606600,RepValDemings,106,2
942156122,RepSwalwell,112,4
3091316093,teammoulton,0,0
1074480192,SenTedCruz,101,1
2863210809,sendavidperdue,2,102
132201224,RepJimMcDermott,110,11
20015903,PeterRoskam,10,117
518644221,RepBradWenstrup,4,105
2930635215,RepNewhouse,-1,-1
51228911,RepMikeTurner,9,109
785624983145852928,repbobbyscott,109,6
242761889,CongressmanDan,100,3
1155212191,KeithRothfus,106,5
122174004,repdinatitus,111,4
1099199839,MartinHeinrich,108,8
476256944,SenFeinstein,119,5
171598736,SenBobCasey,122,7
1410590874,PeterWelch,120,18
211420609,RepSteveStivers,5,113
23976316,RepKenMarchant,3,105
1074129612,RepVeasey,107,2
29450962,repjohnlewis,-1,-1
58928690,RepAdamSmith,107,4
245451804,RepJimCosta,110,8
3044993235,RepTedLieu,108,3
2432952828,GrothmanforWI,-1,-1
442824717,RepRichardNeal,117,4
815310506596691968,RepJoshG,105,2
66602794,PatMcCroryNC,12,120
816181091673448448,RepMcEachin,107,7
1055730738,RepLowenthal,104,6
234022257,RepSeanDuffy,5,107
281540744,RepWebster,3,112
818948638890217473,Rep_Matt_Gaetz,3,108
18566912,RepHensarling,2,114
242873057,RepTipton,105,8
2421067430,TeaPainUSA,-1,-1
1849261916,RepBlainePress,1,109
303861808,RepThompson,113,3
22509548,DarrellIssa,18,116
117777832,RepTimMurphy,10,111
27676828,PatrickMcHenry,6,114
219429281,RepKinzinger,5,114
467823431,RepJeffries,115,7
240778059,GinaRaimondo,104,3
299578411,AndrewZwicker,107,6
816284664658874368,RepArrington,3,107
814103950404239360,RepBrianMast,1,104
1064206014,TulsiPress,-1,-1
229197216,RepDavid,119,9
237862972,RepWalberg,7,110
381152398,RepTerriSewell,110,5
2964949642,RepMcSally,4,122
18695134,SenatorMenendez,115,11
1058917562,RepDerekKilmer,106,4
28599820,RepDianaDeGette,108,8
221792092,NitaLowey,6,100
811632636598910976,RepPaulMitchell,100,3
305620929,Call_Me_Dutch,0,0
242555999,SenWhitehouse,104,4
242772524,RepFrankLucas,3,107
2963445730,HurdOnTheHill,4,111
22831059,CynthiaLummis,7,111
85396297,RepJoeCourtney,102,3
213634439,RepReneeEllmers,4,114
17544524,ToddRokita,4,113
613725908,RepLanceNJ7,-1,-1
1009269193,RepLipinski,117,6
806583915012046854,RepDrewFerguson,1,104
293131808,PattyMurray,118,10
432676344,GKButterfield,106,3
189967523,GoPiggies,-1,-1
1090002997,RepKirkpatrick,109,10
211901075,RepStutzman,3,108
231854033,GovPeterShumlin,111,5
221793778,RepScottRigell,7,117
55677432,BillCassidy,7,109
813286,BarackObama,127,17
148453195,RepBrady,2,109
193872188,RepVisclosky,108,4
16722475,bigfin,0,0
36948268,RepGutierrez,-1,-1
814179031956488192,CongressmanRaja,107,1
18137749,ChrisVanHollen,120,7
581141508,RepMarcyKaptur,106,8
816047090849746945,RepJasonLewis,2,103
234937222,RepChrisGibson,5,107
164007407,RepEliotEngel,130,5
19407835,RepMikeCoffman,13,110
239949176,RepKarenBass,104,2
239871673,RepLouBarletta,11,110
20546536,InhofePress,100,2
2968451607,RepBonnie,105,1
37920978,RepGoodlatte,7,115
74508260,BillPascrell,105,4
806906355214852096,RepRaskin,105,1
14984637,chelliepingree,105,3
29442313,SenSanders,162,19
816833925456789505,RepBarragan,-1,-1
402719755,MarkAmodeiNV2,8,113
234053893,RepRibble,3,105
1880674038,USRepKCastor,106,6
7713202,SpeakerBoehner,11,145
1055907624,RepJoeKennedy,111,5
2914571740,RepMikeBishop,5,105
312134473,RepLindaSanchez,-1,-1
63169388,louiseslaughter,110,10
1065995022,RepWalorski,5,107
25086658,congbillposey,4,104
2964174789,SenThomTillis,3,115
24195214,janschakowsky,106,2
249410485,SanfordBishop,108,6
310310133,RepStephenLynch,122,7
163570705,repcleaver,109,1
2953974395,RepFrenchHill,2,103
816705409486618624,RepTomSuozzi,109,4
2962868158,RepDonBeyer,110,10
242836537,SenatorLeahy,120,14
25781141,repsandylevin,105,3
816030424778543104,RepCharlieCrist,24,132
637143497,Governor_LePage,1,102
262756641,senorrinhatch,5,120
242426145,RepMcGovern,113,6
2970462034,RepKathleenRice,110,4
1444015610,USRepLong,1,104
796183515998068736,RepStephMurphy,-1,-1
2962994194,RepTomMacArthur,2,108
234469322,rep_stevewomack,2,106
2914515430,RepTomEmmer,2,110
1289319271,RepChrisSmith,10,122
10615232,ChuckGrassley,8,110
1262099252,SenBrianSchatz,113,7
816111677917851649,RepRooney,11,121
16102244,davereichert,10,111
168502762,RepEBJ,-1,-1
15281676,CandiceMiller,11,112
19739126,GOPLeader,4,137
34972633,pedropierluisi,104,2
2987671552,LarryHogan,6,109
2852998461,RepWesterman,3,106
1209417007,SteveScalise,12,119
235190657,RepChuck,2,105
385429543,RepMcNerney,104,9
21312077,cbrangel,0,0
1883356866,RepJohnDuncanJr,100,9
111721601,GovernorBullock,107,5
2951574214,RepGarretGraves,4,104
2253968388,RepByrne,6,113
229966028,SenRubioPress,101,1
92186819,maziehirono,117,8
29501253,RepAdamSchiff,109,5
22523087,repjimcooper,114,18
1051446626,RepAnnWagner,3,117
17896154,farenthold,6,107
232268199,NYGovCuomo,119,17
1080844782,RepSinema,-1,-1
32010840,repgregwalden,4,113
225921757,SenatorLankford,3,110
248495200,sethmoulton,109,5
222286905,RepJoeHeck,6,110
950328072,reppittenger,-1,-1
76452765,Robert_Aderholt,5,110
234128524,SenToddYoung,1,113
216881337,RandPaul,11,139
237299871,RepMoBrooks,101,1
790257384572743680,YvetteClarke,105,2
486694111,SenJackReed,110,6
90651198,GregAbbott_TX,8,111
1074278209,BilboBagman,-1,-1
2750127259,RepLeeZeldin,-1,-1
17976923,cathymcmorris,10,128
2853309155,RepCurbelo,7,112
41017380,AlanGrayson,112,18
237814920,RepHultgren,7,112
1077446982,RepRWilliams,-1,-1
19418459,JerryBrownGov,116,17
811313565760163844,SenCortezMasto,104,1
937723303,RepJohnDelaney,111,12
20002401,RepSteveIsrael,112,4
1060984272,RepEsty,0,0
235373000,RepHanabusa,20,100
816652616625168388,RepAndyBiggsAZ,3,117
236279233,NormaJTorres,4,100
28602948,RepRaulGrijalva,-1,-1
27754737,TeaPartyCat,-1,-1
31611298,jahimes,-1,-1
291756142,SenatorEnzi,3,108
84620376,RepFleming,17,135
76456274,SenStabenow,115,7
252819642,RepKevinYoder,14,111
233693291,RepRickCrawford,2,106
1128514404,RepDavidValadao,8,111
742735530287304704,WarrenDavidson,-1,-1
2929491549,RepBrianBabin,7,117
